iter	Passed	Remaining
0	0	70
1	1	62
2	1	58
3	2	53
4	2	52
5	3	51
6	3	50
7	4	49
8	4	48
9	5	48
10	5	48
11	6	49
12	7	49
13	7	48
14	8	48
15	9	47
16	9	47
17	10	46
18	11	46
19	11	47
20	12	47
21	13	48
22	14	48
23	15	47
24	15	47
25	16	46
26	16	45
27	17	44
28	17	43
29	18	42
30	18	41
31	19	41
32	20	41
33	21	40
34	21	40
35	22	39
36	22	38
37	23	37
38	23	37
39	24	36
40	24	35
41	24	34
42	25	33
43	26	33
44	26	32
45	27	31
46	27	31
47	28	30
48	28	30
49	29	29
50	29	28
51	30	28
52	31	27
53	31	26
54	31	26
55	32	25
56	32	24
57	33	24
58	33	23
59	34	23
60	35	22
61	35	21
62	36	21
63	37	21
64	37	20
65	38	19
66	39	19
67	39	18
68	40	18
69	40	17
70	41	16
71	41	16
72	42	15
73	42	14
74	43	14
75	43	13
76	44	13
77	45	12
78	45	12
79	46	11
80	46	10
81	47	10
82	47	9
83	48	9
84	48	8
85	49	8
86	49	7
87	50	6
88	51	6
89	51	5
90	52	5
91	53	4
92	53	4
93	54	3
94	54	2
95	55	2
96	55	1
97	56	1
98	56	0
99	57	0
